variable_label,category,state,concrete_definition,n_days,empirical_P_high,BN_P_high,BN_P_high_percent,delta_P,delta_percentage_points,abs_delta_percentage_points
Temperature,Meteorological,Low,<= 5.47 deg C,487,0.3613963,0.36122642,36.122642,0.02743802,2.743802,2.743802
Temperature,Meteorological,Medium,> 5.47 and <= 20.63 deg C,487,0.42505133,0.42449184,42.449184,0.09070344,9.070344,9.070344
Temperature,Meteorological,High,> 20.63 deg C,488,0.21516393,0.21588736,21.588736,-0.11790104,-11.790104,11.790104
Humidity,Meteorological,Low,<= 49.31 %,488,0.19672131,0.19755733,19.755733,-0.13623106,-13.623105999999998,13.623105999999998
Humidity,Meteorological,Medium,> 49.31 and <= 67.29 %,488,0.40163934,0.401224,40.1224,0.06743561,6.743561000000001,6.743561000000001
Humidity,Meteorological,High,> 67.29 %,486,0.40329218,0.40286499,40.286499,0.0690766,6.90766,6.90766
Wind speed,Meteorological,Low,<= 1.65 m/s,488,0.41598361,0.41548064,41.548064000000004,0.08169225,8.169224999999999,8.169224999999999
Wind speed,Meteorological,Medium,> 1.65 and <= 2.40 m/s,487,0.34291581,0.34285902,34.285902,0.00907063,0.907063,0.907063
Wind speed,Meteorological,High,> 2.40 m/s,487,0.24229979,0.24285868,24.285868,-0.09092972,-9.092972000000001,9.092972000000001
Precipitation,Meteorological,No rain,No rain,762,0.35170604,0.35163494,35.163494,0.01784654,1.7846540000000002,1.7846540000000002
Precipitation,Meteorological,Rain,Rain,700,0.31428571,0.3143679,31.43679,-0.0194205,-1.94205,1.94205
CO,Gaseous pollutant,Low,<= 0.38 mg/m3,487,0.03080082,0.03265332,3.265332,-0.30113507,-30.113507000000002,30.113507000000002
CO,Gaseous pollutant,Medium,> 0.38 and <= 0.54 mg/m3,487,0.21355236,0.21428712,21.428712,-0.11950128,-11.950128,11.950128
CO,Gaseous pollutant,High,> 0.54 mg/m3,488,0.75614754,0.7535657,75.35657,0.41977731,41.977731,41.977731
NO2,Gaseous pollutant,Low,<= 15.91 ug/m3,488,0.1045082,0.1059071,10.59071,-0.22788129,-22.788128999999998,22.788128999999998
NO2,Gaseous pollutant,Medium,> 15.91 and <= 25.92 ug/m3,486,0.24691358,0.24744532,24.744532,-0.08634308,-8.634308,8.634308
NO2,Gaseous pollutant,High,> 25.92 ug/m3,488,0.64959016,0.64765975,64.765975,0.31387135,31.387135,31.387135
SO2,Gaseous pollutant,Low,<= 2.53 ug/m3,488,0.23770492,0.23829072,23.829072,-0.09549768,-9.549768,9.549768
SO2,Gaseous pollutant,Medium,> 2.53 and <= 2.97 ug/m3,486,0.23868313,0.23926532,23.926532,-0.09452307,-9.452307,9.452307
SO2,Gaseous pollutant,High,> 2.97 ug/m3,488,0.52459016,0.52342367,52.342367,0.18963527,18.963527,18.963527
O3,Gaseous pollutant,Low,<= 44.57 ug/m3,487,0.43737166,0.43673675,43.673675,0.10294835,10.294834999999999,10.294834999999999
O3,Gaseous pollutant,Medium,> 44.57 and <= 73.03 ug/m3,487,0.23819302,0.23877703,23.877703,-0.09501137,-9.501137,9.501137
O3,Gaseous pollutant,High,> 73.03 ug/m3,488,0.32581967,0.32586741,32.586741,-0.00792098,-0.792098,0.792098
PM10,Particulate background,Low,<= 33.30 ug/m3,488,0.0,0.00203668,0.203668,-0.33175172,-33.175172,33.175172
PM10,Particulate background,Medium,> 33.30 and <= 62.30 ug/m3,486,0.1563786,0.15746532,15.746531999999998,-0.17632308,-17.632308,17.632308
PM10,Particulate background,High,> 62.30 ug/m3,488,0.8442623,0.84114164,84.114164,0.50735325,50.735324999999996,50.735324999999996
