model,feature,standardized_coefficient,abs_standardized_coefficient
Weather-only previous-day ridge,day_cos,9.46473060097949,9.46473060097949
Weather-only previous-day ridge,Humidity_lag1,7.7377504127418675,7.7377504127418675
Weather-only previous-day ridge,winddir_cos_lag1,-7.533111855121283,7.533111855121283
Weather-only previous-day ridge,TempRange_lag1,6.140036789896284,6.140036789896284
Weather-only previous-day ridge,day_sin,5.982275674122899,5.982275674122899
Weather-only previous-day ridge,month_cos,5.355395814075099,5.355395814075099
Weather-only previous-day ridge,log1p_Precipitation_lag1,-5.15971462788114,5.15971462788114
Weather-only previous-day ridge,month_sin,4.613034340448581,4.613034340448581
Weather-only previous-day ridge,WindSpeed_lag1,-3.960613261534206,3.960613261534206
Weather-only previous-day ridge,season_Winter,-3.9594010161175692,3.9594010161175692
Weather-only previous-day ridge,T_max_lag1,2.9536811672949534,2.9536811672949534
Weather-only previous-day ridge,IsRain_lag1,-2.7973680186587604,2.7973680186587604
Weather-only previous-day ridge,winddir_sin_lag1,2.2875087951341158,2.2875087951341158
Weather-only previous-day ridge,season_Summer,1.8271927092010496,1.8271927092010496
Weather-only previous-day ridge,season_Autumn,1.7924937750390149,1.7924937750390149
Weather-only previous-day ridge,Precipitation_lag1,1.715292207512933,1.715292207512933
Weather-only previous-day ridge,Temperature_lag1,1.5642293460158128,1.5642293460158128
Weather-only previous-day ridge,T_min_lag1,0.8427119848554692,0.8427119848554692
Weather-only previous-day ridge,season_Spring,0.3329308694669946,0.3329308694669946
Compact enhanced ridge,PM2.5_lag1,6.361687533910337,6.361687533910337
Compact enhanced ridge,winddir_cos_lag1,-5.806558392984674,5.806558392984674
Compact enhanced ridge,PM2.5_lag2,-4.1980471680195315,4.1980471680195315
Compact enhanced ridge,TempRange_lag1,3.4770694243434037,3.4770694243434037
Compact enhanced ridge,Humidity_lag1,2.8054170911027043,2.8054170911027043
Compact enhanced ridge,PM2.5_roll7_std_lag1,2.7669637250901085,2.7669637250901085
Compact enhanced ridge,NO2_lag1,2.7542357955622117,2.7542357955622117
Compact enhanced ridge,log1p_Precipitation_lag1,-2.6944595278085792,2.6944595278085792
Compact enhanced ridge,IsRain_lag1,-2.463431431631091,2.463431431631091
Compact enhanced ridge,PM2.5_7d_slope_lag1,2.15507744149708,2.15507744149708
Compact enhanced ridge,PM2.5_3d_delta_lag1,2.0332747913516904,2.0332747913516904
Compact enhanced ridge,WindSpeed_lag1,-1.9286367705508545,1.9286367705508545
Compact enhanced ridge,PM2.5_roll7_mean_lag1,1.8089772402260624,1.8089772402260624
Compact enhanced ridge,season_Winter,-1.7418393646332446,1.7418393646332446
Compact enhanced ridge,day_sin,1.7209793249175278,1.7209793249175278
Compact enhanced ridge,month_sin,1.5638477000251112,1.5638477000251112
Compact enhanced ridge,NO2_roll3_mean_lag1,1.5019145081893739,1.5019145081893739
Compact enhanced ridge,winddir_sin_lag1,1.4527354043798222,1.4527354043798222
Compact enhanced ridge,T_min_lag1,-1.2694306774918522,1.2694306774918522
Compact enhanced ridge,Humidity_roll7_mean_lag1,-1.1864793626526335,1.1864793626526335
Compact enhanced ridge,AQI_lag1,1.0397444579036343,1.0397444579036343
Compact enhanced ridge,day_cos,1.0385468452312452,1.0385468452312452
Compact enhanced ridge,Precipitation_roll7_mean_lag1,0.9827193709790698,0.9827193709790698
Compact enhanced ridge,PM2.5_lag3,-0.9360144365145568,0.9360144365145568
Compact enhanced ridge,SO2_lag1,-0.9112963813030456,0.9112963813030456
Compact enhanced ridge,season_Summer,0.83038569025509,0.83038569025509
Compact enhanced ridge,CO_lag1,-0.8053418889578476,0.8053418889578476
Compact enhanced ridge,month_cos,0.7966088789470284,0.7966088789470284
Compact enhanced ridge,Precipitation_lag1,0.74778220833098,0.74778220833098
Compact enhanced ridge,Temperature_lag1,-0.6657474204416811,0.6657474204416811
Compact enhanced ridge,season_Autumn,0.6146633184095296,0.6146633184095296
Compact enhanced ridge,WindSpeed_roll7_mean_lag1,-0.5689452520480339,0.5689452520480339
Compact enhanced ridge,PM10_lag1,-0.5382176328318433,0.5382176328318433
Compact enhanced ridge,PM2.5_roll3_mean_lag1,0.5122989861027676,0.5122989861027676
Compact enhanced ridge,season_Spring,0.29509133455575076,0.29509133455575076
All-lag enhanced ridge,winddir_cos_lag1,-5.690382257745109,5.690382257745109
All-lag enhanced ridge,PM2.5_lag1,4.892183115334513,4.892183115334513
All-lag enhanced ridge,TempRange_lag1,3.159615146360748,3.159615146360748
All-lag enhanced ridge,PM2.5_3d_delta_lag1,3.137081827530949,3.137081827530949
All-lag enhanced ridge,log1p_Precipitation_lag1,-2.8511777753292824,2.8511777753292824
All-lag enhanced ridge,IsRain_lag1,-2.604394683144641,2.604394683144641
All-lag enhanced ridge,PM2.5_lag2,-2.5785002448940917,2.5785002448940917
All-lag enhanced ridge,NO2_lag1,2.509078347341397,2.509078347341397
All-lag enhanced ridge,PM2.5_roll7_std_lag1,2.49888108133286,2.49888108133286
All-lag enhanced ridge,Humidity_lag1,2.2273354312601787,2.2273354312601787
All-lag enhanced ridge,NO2_roll14_std_lag1,2.085905414883857,2.085905414883857
All-lag enhanced ridge,WindSpeed_lag2,2.0670302999712775,2.0670302999712775
All-lag enhanced ridge,WindSpeed_lag1,-1.8798668397158014,1.8798668397158014
All-lag enhanced ridge,PM2.5_7d_delta_lag1,1.8126690511925658,1.8126690511925658
All-lag enhanced ridge,winddir_sin_lag1,1.794681287355453,1.794681287355453
All-lag enhanced ridge,AQI_lag2,-1.7875769384871578,1.7875769384871578
All-lag enhanced ridge,AQI_lag3,-1.6574703457908004,1.6574703457908004
All-lag enhanced ridge,SO2_roll14_std_lag1,1.6161558117489645,1.6161558117489645
All-lag enhanced ridge,PM10_lag2,1.5779256644103237,1.5779256644103237
All-lag enhanced ridge,IsRain_lag7,1.544655820613006,1.544655820613006
All-lag enhanced ridge,season_Winter,-1.5395889813007475,1.5395889813007475
All-lag enhanced ridge,O3_roll7_std_lag1,-1.4563290545135188,1.4563290545135188
All-lag enhanced ridge,Humidity_lag6,-1.4320162423331668,1.4320162423331668
All-lag enhanced ridge,SO2_lag7,-1.3700510807467803,1.3700510807467803
All-lag enhanced ridge,Humidity_lag3,-1.3659712318475485,1.3659712318475485
All-lag enhanced ridge,winddir_cos_lag4,1.292015385359873,1.292015385359873
All-lag enhanced ridge,month_sin,1.254008971675035,1.254008971675035
All-lag enhanced ridge,log1p_Precipitation_lag2,1.2358841991266543,1.2358841991266543
All-lag enhanced ridge,NO2_lag2,-1.2091180338731344,1.2091180338731344
All-lag enhanced ridge,TempRange_lag7,1.1878398008123863,1.1878398008123863
All-lag enhanced ridge,O3_lag2,-1.1782436747605305,1.1782436747605305
All-lag enhanced ridge,SO2_roll7_std_lag1,1.1441317035751706,1.1441317035751706
All-lag enhanced ridge,log1p_Precipitation_lag7,0.991714675671173,0.991714675671173
All-lag enhanced ridge,PM2.5_roll7_mean_lag1,0.9903039193046014,0.9903039193046014
All-lag enhanced ridge,TempRange_lag5,0.9900163809860223,0.9900163809860223
