smooth_term,x,partial_effect,lower_95,upper_95
WindSpeed,0.822,0.96677158,-2.17796288,4.11150604
WindSpeed,0.86068908,1.10673649,-1.69280866,3.90628164
WindSpeed,0.89937815,1.21531303,-1.29066321,3.72128926
WindSpeed,0.93806723,1.29364412,-0.9669972,3.55428545
WindSpeed,0.9767563,1.34287272,-0.71661105,3.40235649
WindSpeed,1.01544538,1.36414175,-0.53343735,3.26172084
WindSpeed,1.05413445,1.35859414,-0.41050612,3.1276944
WindSpeed,1.09282353,1.32737285,-0.34014332,2.99488903
WindSpeed,1.13151261,1.2716208,-0.31438522,2.85762683
WindSpeed,1.17020168,1.19248094,-0.32550491,2.71046679
WindSpeed,1.20889076,1.09109619,-0.36653095,2.54872333
WindSpeed,1.24757983,0.9686095,-0.43170002,2.36891901
WindSpeed,1.28626891,0.8261638,-0.51688158,2.16920917
WindSpeed,1.32495798,0.66490202,-0.6200924,1.94989644
WindSpeed,1.36364706,0.48596711,-0.74225824,1.71419247
WindSpeed,1.40233613,0.29147576,-0.88775971,1.47071122
WindSpeed,1.44102521,0.08734601,-1.06108125,1.23577326
WindSpeed,1.47971429,-0.11957657,-1.26189763,1.0227445
WindSpeed,1.51840336,-0.3224464,-1.48176024,0.83686745
WindSpeed,1.55709244,-0.51441792,-1.70405602,0.67522018
WindSpeed,1.59578151,-0.68864557,-1.90716699,0.52987586
WindSpeed,1.63447059,-0.83828377,-2.06848256,0.39191501
WindSpeed,1.67315966,-0.9568766,-2.1688385,0.2550853
WindSpeed,1.71184874,-1.04383034,-2.20968767,0.12202699
WindSpeed,1.75053782,-1.10308058,-2.20984927,0.00368811
WindSpeed,1.78922689,-1.13868036,-2.19161849,-0.08574224
WindSpeed,1.82791597,-1.15468274,-2.17660426,-0.13276122
WindSpeed,1.86660504,-1.15514077,-2.17974499,-0.13053654
WindSpeed,1.90529412,-1.14410749,-2.20406858,-0.08414639
WindSpeed,1.94398319,-1.12563595,-2.24101386,-0.01025804
WindSpeed,1.98267227,-1.10377921,-2.27582125,0.06826283
WindSpeed,2.02136134,-1.08256948,-2.29298889,0.12784993
WindSpeed,2.06005042,-1.06434157,-2.2828604,0.15417727
WindSpeed,2.0987395,-1.0485033,-2.24616132,0.14915472
WindSpeed,2.13742857,-1.03417265,-2.18795033,0.11960504
WindSpeed,2.17611765,-1.02046758,-2.11573074,0.07479557
WindSpeed,2.21480672,-1.00650608,-2.03872522,0.02571305
WindSpeed,2.2534958,-0.99140612,-1.96705796,-0.01575429
WindSpeed,2.29218487,-0.97428567,-1.91017825,-0.03839309
WindSpeed,2.33087395,-0.9542627,-1.87427286,-0.03425254
WindSpeed,2.36956303,-0.93045519,-1.85966776,-0.00124261
WindSpeed,2.4082521,-0.90198152,-1.86020986,0.05624682
WindSpeed,2.44694118,-0.86824989,-1.8661359,0.12963611
WindSpeed,2.48563025,-0.8294642,-1.86980631,0.21087791
WindSpeed,2.52431933,-0.7859637,-1.86653433,0.29460692
WindSpeed,2.5630084,-0.73808767,-1.85375006,0.37757471
WindSpeed,2.60169748,-0.68617537,-1.83033946,0.45798873
WindSpeed,2.64038655,-0.63056605,-1.79615997,0.53502786
WindSpeed,2.67907563,-0.57159899,-1.75171501,0.60851702
WindSpeed,2.71776471,-0.50961345,-1.69794053,0.67871363
WindSpeed,2.75645378,-0.44494868,-1.63606302,0.74616565
WindSpeed,2.79514286,-0.37794396,-1.56750089,0.81161296
WindSpeed,2.83383193,-0.30893855,-1.4937905,0.8759134
WindSpeed,2.87252101,-0.23827171,-1.41652519,0.93998176
