变量,样本量,缺失率%,均值,方差,标准差,最小值,Q1,中位数,Q3,最大值
PM2.5,1462,0.0,30.1034,661.4059,25.7178,1.6321,12.2167,22.7113,38.1759,164.3369
Temperature,1462,0.0,12.2644,141.4798,11.8945,-16.12,0.945,13.63,23.2625,33.27
Humidity,1462,0.0,58.2814,301.78,17.3718,15.24,44.565,58.17,72.11,96.0
WindSpeed,1462,0.0,2.2291,1.0453,1.0224,0.43,1.5125,2.01,2.6675,9.71
Precipitation,1462,0.0,2.2073,59.7261,7.7283,0.0,0.0,0.0,0.6275,97.29
CO,1462,0.0,0.4871,0.0408,0.202,0.1102,0.3384,0.4587,0.5956,1.4549
NO2,1462,0.0,23.1404,154.474,12.4288,2.4369,13.8408,20.1012,30.1601,66.2143
SO2,1462,0.0,2.9364,0.64,0.8,0.6488,2.4548,2.7196,3.1589,8.1298
O3,1462,0.0,62.0743,1080.6849,32.8738,5.0952,38.0824,58.2411,80.2955,192.206
PM10,1462,0.0,57.5347,2575.9864,50.7542,4.1619,27.2994,46.275,72.5878,696.5643
Lag_PM2.5,1461,0.07,30.1138,661.7033,25.7236,1.6321,12.2048,22.7548,38.1774,164.3369
