date,PM2.5,Temperature,Humidity,WindSpeed,Precipitation,CO,NO2,SO2,O3,Lag_PM2.5,month,season_Spring,season_Summer,season_Autumn,season_Winter
2022-05-22,29.5667,27.3,30.98,2.47,0.02,0.4889,18.7988,2.9048,144.6,32.3488,5,1,0,0,0
2022-05-23,30.9631,25.21,44.44,2.01,0.01,0.4524,16.7917,2.506,135.5667,29.5667,5,1,0,0,0
2022-05-24,28.2845,26.56,42.37,2.69,0.42,0.5025,16.8857,2.6321,125.2905,30.9631,5,1,0,0,0
2022-05-25,4.5321,23.44,27.17,3.34,0.0,0.1948,6.4952,2.5821,87.4929,28.2845,5,1,0,0,0
2022-05-26,7.531,25.16,23.62,3.18,0.0,0.2145,13.1786,2.4667,66.8881,4.5321,5,1,0,0,0
2022-05-27,12.025,25.98,21.74,2.64,0.0,0.3354,18.881,2.781,88.1762,7.531,5,1,0,0,0
2022-05-28,26.4274,28.74,28.89,3.61,0.0,0.4496,16.9298,3.9869,154.5619,12.025,5,1,0,0,0
2022-05-29,16.381,23.05,33.22,4.49,0.64,0.3095,9.6238,2.6286,92.7155,26.4274,5,1,0,0,0
2022-05-30,9.3119,22.81,19.91,2.71,0.0,0.2262,15.2429,2.3643,75.2238,16.381,5,1,0,0,0
2022-05-31,18.7524,24.7,22.86,1.67,0.0,0.363,23.1179,2.7976,101.7536,9.3119,5,1,0,0,0
2022-06-01,14.7857,26.18,25.33,1.53,0.0,0.33,19.5369,2.5155,99.7929,18.7524,6,0,1,0,0
2022-06-02,21.3595,28.01,24.18,2.88,0.0,0.3683,22.8298,3.1238,145.975,14.7857,6,0,1,0,0
2022-06-03,35.6512,27.5,43.74,2.24,4.24,0.6819,22.2131,5.4619,169.244,21.3595,6,0,1,0,0
2022-06-04,24.2667,26.81,56.0,1.59,4.71,0.4602,10.3667,2.8107,122.7643,35.6512,6,0,1,0,0
2022-06-05,12.9476,25.25,27.67,4.47,0.0,0.3033,11.0714,2.6524,76.5083,24.2667,6,0,1,0,0
2022-06-06,3.0417,22.96,35.69,3.1,0.0,0.2288,6.4869,2.6381,78.2238,12.9476,6,0,1,0,0
2022-06-07,10.2464,20.68,48.24,2.6,0.06,0.393,13.1786,2.4119,83.8548,3.0417,6,0,1,0,0
2022-06-08,22.6679,19.83,62.54,2.31,0.43,0.68,14.4274,3.0976,89.331,10.2464,6,0,1,0,0
2022-06-09,24.4893,20.57,63.12,2.25,0.01,0.7596,16.1762,2.6786,76.2893,22.6679,6,0,1,0,0
2022-06-10,29.8964,22.09,65.38,2.13,2.27,0.7345,14.5595,2.3631,110.981,24.4893,6,0,1,0,0
2022-06-11,23.5762,21.41,75.84,2.72,14.11,0.5844,14.5929,2.3976,96.3488,29.8964,6,0,1,0,0
2022-06-12,17.719,21.73,75.34,2.27,12.41,0.5308,11.0774,2.7571,96.9988,23.5762,6,0,1,0,0
2022-06-13,14.7988,22.43,64.48,0.94,7.96,0.4335,11.744,2.6524,84.3357,17.719,6,0,1,0,0
2022-06-14,14.8702,22.05,61.75,1.53,1.41,0.4944,13.4869,2.6143,76.5214,14.7988,6,0,1,0,0
2022-06-15,21.9536,22.91,64.96,2.0,0.25,0.6425,13.0762,2.5429,91.5095,14.8702,6,0,1,0,0
2022-06-16,25.3107,23.58,70.22,1.77,0.01,0.586,15.6869,2.6405,122.0321,21.9536,6,0,1,0,0
2022-06-17,37.069,24.68,69.44,1.94,1.59,0.8458,18.2024,2.7357,140.5952,25.3107,6,0,1,0,0
