date,PM2.5,WindSpeed,Humidity,NO2,CO,O3,Precipitation,Temperature,Lag_PM2.5,month
2022-05-22,29.5667,2.47,30.98,18.7988,0.4889,144.6,0.02,27.3,32.3488,5
2022-05-23,30.9631,2.01,44.44,16.7917,0.4524,135.5667,0.01,25.21,29.5667,5
2022-05-24,28.2845,2.69,42.37,16.8857,0.5025,125.2905,0.42,26.56,30.9631,5
2022-05-25,4.5321,3.34,27.17,6.4952,0.1948,87.4929,0.0,23.44,28.2845,5
2022-05-26,7.531,3.18,23.62,13.1786,0.2145,66.8881,0.0,25.16,4.5321,5
2022-05-27,12.025,2.64,21.74,18.881,0.3354,88.1762,0.0,25.98,7.531,5
2022-05-28,26.4274,3.61,28.89,16.9298,0.4496,154.5619,0.0,28.74,12.025,5
2022-05-29,16.381,4.49,33.22,9.6238,0.3095,92.7155,0.64,23.05,26.4274,5
2022-05-30,9.3119,2.71,19.91,15.2429,0.2262,75.2238,0.0,22.81,16.381,5
2022-05-31,18.7524,1.67,22.86,23.1179,0.363,101.7536,0.0,24.7,9.3119,5
2022-06-01,14.7857,1.53,25.33,19.5369,0.33,99.7929,0.0,26.18,18.7524,6
2022-06-02,21.3595,2.88,24.18,22.8298,0.3683,145.975,0.0,28.01,14.7857,6
2022-06-03,35.6512,2.24,43.74,22.2131,0.6819,169.244,4.24,27.5,21.3595,6
2022-06-04,24.2667,1.59,56.0,10.3667,0.4602,122.7643,4.71,26.81,35.6512,6
2022-06-05,12.9476,4.47,27.67,11.0714,0.3033,76.5083,0.0,25.25,24.2667,6
2022-06-06,3.0417,3.1,35.69,6.4869,0.2288,78.2238,0.0,22.96,12.9476,6
2022-06-07,10.2464,2.6,48.24,13.1786,0.393,83.8548,0.06,20.68,3.0417,6
2022-06-08,22.6679,2.31,62.54,14.4274,0.68,89.331,0.43,19.83,10.2464,6
2022-06-09,24.4893,2.25,63.12,16.1762,0.7596,76.2893,0.01,20.57,22.6679,6
2022-06-10,29.8964,2.13,65.38,14.5595,0.7345,110.981,2.27,22.09,24.4893,6
2022-06-11,23.5762,2.72,75.84,14.5929,0.5844,96.3488,14.11,21.41,29.8964,6
2022-06-12,17.719,2.27,75.34,11.0774,0.5308,96.9988,12.41,21.73,23.5762,6
2022-06-13,14.7988,0.94,64.48,11.744,0.4335,84.3357,7.96,22.43,17.719,6
2022-06-14,14.8702,1.53,61.75,13.4869,0.4944,76.5214,1.41,22.05,14.7988,6
2022-06-15,21.9536,2.0,64.96,13.0762,0.6425,91.5095,0.25,22.91,14.8702,6
2022-06-16,25.3107,1.77,70.22,15.6869,0.586,122.0321,0.01,23.58,21.9536,6
2022-06-17,37.069,1.94,69.44,18.2024,0.8458,140.5952,1.59,24.68,25.3107,6
2022-06-18,34.35,1.93,71.8,12.031,0.8777,157.7726,0.87,25.06,37.069,6
2022-06-19,30.0845,2.08,69.08,11.0107,0.7776,158.55,0.41,26.16,34.35,6
2022-06-20,34.6417,2.03,63.43,14.3488,0.8229,158.3881,0.13,28.4,30.0845,6
2022-06-21,49.8964,1.46,62.69,17.4333,0.967,146.8762,0.85,28.26,34.6417,6
2022-06-22,42.0976,1.2,86.05,16.5702,0.8988,75.0,11.61,24.77,49.8964,6
2022-06-23,12.7488,2.1,50.12,13.4786,0.4336,85.3774,0.51,28.65,42.0976,6
2022-06-24,4.8964,2.21,35.32,17.0226,0.2517,82.8286,0.03,30.19,12.7488,6
2022-06-25,19.081,1.99,38.43,24.1095,0.407,164.8548,0.25,32.32,4.8964,6
2022-06-26,23.5143,2.61,66.44,13.9738,0.585,140.7786,7.31,26.36,19.081,6
2022-06-27,23.7619,1.4,67.82,10.419,0.5958,92.8857,22.02,25.19,23.5143,6
2022-06-28,11.9952,1.67,75.71,9.7881,0.4301,70.4345,8.72,23.42,23.7619,6
2022-06-29,8.0714,1.83,66.32,8.0452,0.3462,63.1833,6.34,25.04,11.9952,6
2022-06-30,13.381,1.45,74.86,12.3286,0.4249,73.4619,2.27,24.83,8.0714,6
2022-07-01,16.9107,1.12,73.61,9.206,0.5617,92.4226,3.12,25.14,13.381,7
2022-07-02,33.831,1.66,72.15,13.3619,0.7108,98.975,7.97,25.81,16.9107,7
2022-07-03,21.5643,1.79,89.35,9.744,0.6145,98.9833,34.8,23.95,33.831,7
2022-07-04,16.3786,2.17,85.69,10.1821,0.5735,75.35,25.46,25.78,21.5643,7
2022-07-05,32.6119,1.9,87.42,11.0107,0.5894,81.5036,12.41,26.43,16.3786,7
2022-07-06,7.9833,1.24,85.12,9.3107,0.398,71.6333,8.07,24.9,32.6119,7
2022-07-07,10.2821,1.84,56.62,16.4512,0.3856,84.0667,0.0,27.34,7.9833,7
2022-07-08,16.7869,1.27,64.07,17.1179,0.4207,92.0095,0.26,28.15,10.2821,7
2022-07-09,10.6857,2.68,56.81,19.1798,0.3317,62.0214,3.69,26.79,16.7869,7
2022-07-10,8.9643,1.4,72.2,10.5345,0.3477,82.6333,20.59,23.37,10.6857,7
2022-07-11,19.9036,1.18,74.73,17.1405,0.4815,74.2512,1.93,23.2,8.9643,7
2022-07-12,13.8024,1.94,85.53,9.8405,0.47,76.731,10.37,23.02,19.9036,7
